Year,Countries,Values
1986,Albania,1461.3727
1987,Albania,1452.5619
1988,Albania,1474.162
1989,Albania,1569.9805
1990,Albania,1517.7623
1991,Albania,1455.2281
1992,Albania,1528.3416
1993,Albania,1564.4047
1994,Albania,1504.7547
1995,Albania,1430.8525
1996,Albania,1347.527
1997,Albania,1526.8178
1998,Albania,1516.8757
1999,Albania,1446.2169
2000,Albania,1579.5594
2001,Albania,1482.1523
2002,Albania,1449.4343
2003,Albania,1491.9287
2004,Albania,1446.239
2005,Albania,1467.8441
2006,Albania,1482.2747
2007,Albania,1488.6561
2008,Albania,1453.5419
2009,Albania,1396.8785
2010,Albania,1377.0571
2011,Albania,1568.4621
2012,Albania,1503.3648
2013,Albania,1428.9355
2014,Albania,1427.5859
2015,Albania,1539.5061
1986,Austria,1138.7878
1987,Austria,1053.4615
1988,Austria,1104.3876
1989,Austria,1139.0952
1990,Austria,1141.3953
1991,Austria,1115.1501
1992,Austria,1146.5489
1993,Austria,1081.7368
1994,Austria,1098.3714
1995,Austria,1043.9008
1996,Austria,1041.2227
1997,Austria,1135.0475
1998,Austria,1082.3708
1999,Austria,1072.8072
2000,Austria,1124.3029
2001,Austria,1091.7544
2002,Austria,1092.5993
2003,Austria,1189.7344
2004,Austria,1083.8007
2005,Austria,1100.5542
2006,Austria,1124.7012
2007,Austria,1139.6018
2008,Austria,1085.8522
2009,Austria,1097.5719
2010,Austria,1063.785
2011,Austria,1210.0154
2012,Austria,1141.9025
2013,Austria,1024.5229
2014,Austria,1067.9964
2015,Austria,1142.7117
1986,Bosnia,1196.544
1987,Bosnia,1156.9514
1988,Bosnia,1170.6632
1989,Bosnia,1199.8026
1990,Bosnia,1236.7235
1991,Bosnia,1175.1897
1992,Bosnia,1264.1215
1993,Bosnia,1209.9247
1994,Bosnia,1208.5469
1995,Bosnia,1147.6911
1996,Bosnia,1088.9904
1997,Bosnia,1216.5411
1998,Bosnia,1202.399
1999,Bosnia,1154.7818
2000,Bosnia,1293.9635
2001,Bosnia,1178.6406
2002,Bosnia,1154.7449
2003,Bosnia,1253.2066
2004,Bosnia,1158.2473
2005,Bosnia,1142.6749
2006,Bosnia,1157.7336
2007,Bosnia,1233.4312
2008,Bosnia,1191.0417
2009,Bosnia,1175.1463
2010,Bosnia,1102.3583
2011,Bosnia,1274.9627
2012,Bosnia,1270.0892
2013,Bosnia,1127.6056
2014,Bosnia,1099.2449
2015,Bosnia,1218.5641
1986,Belgium,1015.6605
1987,Belgium,928.8182
1988,Belgium,924.6736
1989,Belgium,1040.7748
1990,Belgium,1021.4398
1991,Belgium,1030.504
1992,Belgium,987.3835
1993,Belgium,953.6078
1994,Belgium,949.0527
1995,Belgium,988.5747
1996,Belgium,974.2316
1997,Belgium,1028.1628
1998,Belgium,887.834
1999,Belgium,998.6957
2000,Belgium,929.0497
2001,Belgium,951.3513
2002,Belgium,961.4358
2003,Belgium,1124.9806
2004,Belgium,996.1092
2005,Belgium,981.9166
2006,Belgium,967.7108
2007,Belgium,977.2773
2008,Belgium,949.9725
2009,Belgium,1000.5658
2010,Belgium,974.3446
2011,Belgium,1052.0825
2012,Belgium,955.3474
2013,Belgium,909.4045
2014,Belgium,1001.1013
2015,Belgium,1032.2387
1986,Bulgaria,1277.0655
1987,Bulgaria,1207.1725
1988,Bulgaria,1253.2077
1989,Bulgaria,1317.7486
1990,Bulgaria,1326.1144
1991,Bulgaria,1179.3417
1992,Bulgaria,1330.973
1993,Bulgaria,1302.5956
1994,Bulgaria,1279.7735
1995,Bulgaria,1224.7572
1996,Bulgaria,1165.2452
1997,Bulgaria,1237.3157
1998,Bulgaria,1235.2282
1999,Bulgaria,1269.0561
2000,Bulgaria,1369.1755
2001,Bulgaria,1258.37
2002,Bulgaria,1204.01
2003,Bulgaria,1266.6992
2004,Bulgaria,1268.3351
2005,Bulgaria,1181.1226
2006,Bulgaria,1232.7941
2007,Bulgaria,1314.8775
2008,Bulgaria,1262.6629
